"id"	"parent_id/id"	"parent_persentage"	"name"	"tilt_azimuth_ids/id"	"zip_id/id"
				"tilt_azimuth_459"	
				"tilt_azimuth_460"	
				"tilt_azimuth_461"	
				"tilt_azimuth_462"	
				"tilt_azimuth_463"	
				"tilt_azimuth_464"	
				"tilt_azimuth_465"	
				"tilt_azimuth_466"	
				"tilt_azimuth_467"	
				"tilt_azimuth_468"	
				"tilt_azimuth_469"	
				"tilt_azimuth_470"	
				"tilt_azimuth_471"	
				"tilt_azimuth_472"	
				"tilt_azimuth_473"	
				"tilt_azimuth_474"	
				"tilt_azimuth_475"	
				"tilt_azimuth_476"	
				"tilt_azimuth_477"	
				"tilt_azimuth_478"	
				"tilt_azimuth_479"	
				"tilt_azimuth_480"	
				"tilt_azimuth_481"	
				"tilt_azimuth_482"	
				"tilt_azimuth_483"	
				"tilt_azimuth_484"	
				"tilt_azimuth_485"	
				"tilt_azimuth_486"	
				"tilt_azimuth_487"	
				"tilt_azimuth_488"	
				"tilt_azimuth_489"	
				"tilt_azimuth_490"	
				"tilt_azimuth_491"	
				"tilt_azimuth_492"	
				"tilt_azimuth_493"	
				"tilt_azimuth_494"	
				"tilt_azimuth_495"	
				"tilt_azimuth_496"	
				"tilt_azimuth_497"	
				"tilt_azimuth_498"	
				"tilt_azimuth_499"	
				"tilt_azimuth_500"	
				"tilt_azimuth_501"	
				"tilt_azimuth_502"	
				"tilt_azimuth_503"	
				"tilt_azimuth_504"	
				"tilt_azimuth_505"	
				"tilt_azimuth_506"	
				"tilt_azimuth_507"	
				"tilt_azimuth_508"	
				"tilt_azimuth_509"	
				"tilt_azimuth_510"	
				"tilt_azimuth_511"	
				"tilt_azimuth_512"	
				"tilt_azimuth_513"	
				"tilt_azimuth_514"	
				"tilt_azimuth_515"	
				"tilt_azimuth_516"	
				"tilt_azimuth_517"	
				"tilt_azimuth_518"	
				"tilt_azimuth_519"	
				"tilt_azimuth_520"	
				"tilt_azimuth_521"	
				"tilt_azimuth_522"	
				"tilt_azimuth_523"	
				"tilt_azimuth_524"	
				"tilt_azimuth_525"	
				"tilt_azimuth_526"	
				"tilt_azimuth_527"	
				"tilt_azimuth_528"	
				"tilt_azimuth_529"	
				"tilt_azimuth_530"	
				"tilt_azimuth_531"	
				"tilt_azimuth_532"	
				"tilt_azimuth_533"	
				"tilt_azimuth_534"	
				"tilt_azimuth_535"	
				"tilt_azimuth_536"	
				"tilt_azimuth_537"	
				"tilt_azimuth_538"	
				"tilt_azimuth_539"	
				"tilt_azimuth_540"	
				"tilt_azimuth_541"	
				"tilt_azimuth_542"	
				"tilt_azimuth_543"	
				"tilt_azimuth_544"	
